18:00:43.404150 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 101360:104256, ack 1, win 58, options [nop,nop,TS val 28020864 ecr 28020863], length 2896
18:00:43.406842 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 104256:107152, ack 1, win 58, options [nop,nop,TS val 28020864 ecr 28020864], length 2896
18:00:43.409533 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 107152:110048, ack 1, win 58, options [nop,nop,TS val 28020865 ecr 28020864], length 2896
18:00:43.412225 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 110048:112944, ack 1, win 58, options [nop,nop,TS val 28020866 ecr 28020865], length 2896
18:00:43.414916 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 112944:115840, ack 1, win 58, options [nop,nop,TS val 28020866 ecr 28020866], length 2896
18:00:43.417608 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 115840:118736, ack 1, win 58, options [nop,nop,TS val 28020867 ecr 28020866], length 2896
18:00:43.420301 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 118736:121632, ack 1, win 58, options [nop,nop,TS val 28020867 ecr 28020867], length 2896
18:00:43.422991 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 121632:124528, ack 1, win 58, options [nop,nop,TS val 28020868 ecr 28020867], length 2896
18:00:43.425688 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 124528:127424, ack 1, win 58, options [nop,nop,TS val 28020869 ecr 28020868], length 2896
18:00:43.428374 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 127424:130320, ack 1, win 58, options [nop,nop,TS val 28020869 ecr 28020869], length 2896
18:00:43.431066 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 130320:133216, ack 1, win 58, options [nop,nop,TS val 28020870 ecr 28020869], length 2896
18:00:43.433757 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 133216:136112, ack 1, win 58, options [nop,nop,TS val 28020870 ecr 28020870], length 2896
18:00:43.436449 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 136112:139008, ack 1, win 58, options [nop,nop,TS val 28020871 ecr 28020870], length 2896
18:00:43.439140 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 139008:141904, ack 1, win 58, options [nop,nop,TS val 28020872 ecr 28020871], length 2896
18:00:43.441832 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 141904:144800, ack 1, win 58, options [nop,nop,TS val 28020872 ecr 28020872], length 2896
18:00:43.444524 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 144800:147696, ack 1, win 58, options [nop,nop,TS val 28020873 ecr 28020872], length 2896
