0.00 1 0.0  0 0
5.10 36.0323 133.0  1189920 1.8449454545454549
5.20 36.8286 133.0  1244280 1.8449454545454549
5.30 37.0723 133.0  1300150 1.8449454545454549
5.40 38.005 134.0  1343940 1.8449454545454549
5.50 38.9924 134.0  1360550 3.0529454545454553
5.60 39.7797 133.0  1414910 3.0529454545454553
5.70 40.0554 134.0  1473800 3.0529454545454553
5.80 40.9201 134.0  1520610 3.0529454545454553
5.90 41.8865 134.0  1540240 3.0529454545454553
6.00 42.6673 134.0  1596110 3.0529454545454553
6.10 42.9942 134.0  1659530 3.0529454545454553
6.20 43.8238 134.0  1704830 3.0529454545454553
6.30 44.7945 137.0  1724460 3.0529454545454553
6.40 45.4154 139.0  1790900 3.0529454545454553
6.50 45.7664 139.0  1858850 3.0529454545454553
6.60 46.7396 141.0  1878480 3.766763636363637
6.70 47.6299 144.00000000000003  1928310 3.766763636363637
6.80 47.8185 144.00000000000003  1999280 3.766763636363637
6.90 48.6891 146.0  2029480 3.766763636363637
7.00 49.6654 149.0  2071760 3.766763636363637
7.10 49.8061 149.0  2145750 3.766763636363637
7.20 50.6425 151.0  2172930 3.766763636363637
7.30 51.5624 153.0  2221250 3.766763636363637
7.40 51.6593 153.0  2298260 3.766763636363637
7.50 52.5995 156.0  2310340 3.766763636363637
7.60 53.2984 158.0  2376780 3.766763636363637
7.70 53.5791 158.0  2440200 4.0852363636363647
7.80 54.5595 161.0  2456810 4.0852363636363647
7.90 54.9249 162.0  2538350 4.0852363636363647
8.00 55.5406 163.0  2568550 4.0852363636363647
8.10 56.4161 165.0  2621400 4.0852363636363647
8.20 56.5224 165.0  2693880 4.0852363636363647
8.30 57.5047 168.0  2705960 4.0852363636363647
8.40 57.8515 169.0  2792030 4.0852363636363647
8.50 58.4877 170.0  2813170 4.0852363636363647
8.60 59.2184 173.00000000000003  2879610 4.0852363636363647
8.70 59.4712 173.00000000000003  2933970 4.0852363636363647
8.80 60.4553 175.00000000000003  2968700 3.8436363636363646
8.90 60.4718 175.00000000000003  3051750 3.8436363636363646
9.00 61.4399 178.0  3059300 3.8436363636363646
9.10 61.7484 179.0  3151410 3.8436363636363646
9.20 62.425 180.0  3160470 3.8436363636363646
9.30 62.9832 181.0  3245030 3.8436363636363646
9.40 63.4105 182.0  3273720 3.8436363636363646
9.50 64.1631 185.0  3340160 3.8436363636363646
9.60 64.3965 185.0  3386970 3.8436363636363646
9.70 65.3217 187.0  3436800 3.8436363636363646
9.80 65.3829 187.0  3497200 3.8436363636363646
9.90 66.3697 190.0  3534950 4.1181818181818191
10.00 66.3697 190.0  3596860 4.1181818181818191
10.10 1 190.0  3596860 4.1181818181818191
10.20 1 190.0  3699540 4.1181818181818191
10.30 2 184.0  3702560 4.1181818181818191
10.40 4 172.0  3702560 4.1181818181818191
10.50 8 156.0  3708600 4.1181818181818191
10.60 10 150.0  3720680 4.1181818181818191
10.70 16 142.00000000000003  3744840 4.1181818181818191
10.80 32 138.0  3750880 4.1181818181818191
10.90 33.9268 146.0  3793160 4.1181818181818191
11.00 34.0739 140.0  3842990 2.2402909090909096
11.10 34.8863 134.0  3891310 2.2402909090909096
11.20 35.8481 134.0  3901880 2.2402909090909096
11.30 36.7846 134.0  3947180 2.2402909090909096
11.40 37.0015 134.0  4001540 2.2402909090909096
11.50 37.7774 134.0  4052880 2.2402909090909096
11.60 38.7448 134.0  4067980 2.2402909090909096
11.70 39.6634 134.0  4114790 2.2402909090909096
11.80 39.9398 133.0  4173680 2.2402909090909096
11.90 40.6843 134.0  4228040 2.2402909090909096
12.00 41.6561 134.0  4247670 2.2402909090909096
12.10 42.5588 134.0  4295990 3.2945454545454553
12.20 42.8866 133.0  4359410 3.2945454545454553
12.30 43.6037 134.0  4416790 3.2945454545454553
12.40 44.5792 134.0  4440950 3.2945454545454553
12.50 45.4678 134.0  4490780 3.2945454545454553
12.60 45.8403 133.0  4558730 3.2945454545454553
12.70 46.5333 134.0  4619130 3.2945454545454553
12.80 47.5117 134.0  4647820 3.2945454545454553
12.90 48.3878 134.0  4699160 3.2945454545454553
13.00 48.7995 133.0  4771640 3.2945454545454553
13.10 49.4713 134.0  4833550 3.2945454545454553
13.20 50.4522 134.0  4863750 4.1291636363636375
13.30 51.2586 137.0  4921130 4.1291636363636375
13.40 51.628 138.0  4998140 4.1291636363636375
13.50 52.4162 139.0  5043440 4.1291636363636375
13.60 53.3993 141.0  5076660 4.1291636363636375
13.70 53.8469 143.00000000000003  5156690 4.1291636363636375
13.80 54.3829 144.00000000000003  5218600 4.1291636363636375
13.90 55.3671 146.0  5241250 4.1291636363636375
14.00 55.9064 147.0  5321280 4.1291636363636375
14.10 56.3519 149.0  5386210 4.1291636363636375
14.20 57.3372 151.0  5405840 4.1291636363636375
14.30 57.8408 152.0  5491910 4.5684363636363647
14.40 58.323 153.0  5549290 4.5684363636363647
14.50 59.3092 156.0  5579490 4.5684363636363647
14.60 59.6288 157.0  5668580 4.5684363636363647
14.70 60.296 158.0  5704820 4.5684363636363647
14.80 61.1688 160.0  5759180 4.5684363636363647
14.90 61.3157 161.0  5842230 4.5684363636363647
15.00 62.2707 163.0  5854310 4.5684363636363647
15.10 62.7666 164.0  5944910 4.5684363636363647
15.20 63.2586 165.0  5990210 4.5684363636363647
15.30 64.1846 168.0  6040040 4.5684363636363647
15.40 64.2625 168.0  6123090 4.5904000000000007
15.50 65.2356 170.0  6136680 4.5904000000000007
15.60 65.6177 172.0  6234830 4.5904000000000007
15.70 66.2246 173.00000000000003  6262010 4.5904000000000007
15.80 66.9306 174.00000000000003  6334490 4.5904000000000007
15.90 67.2139 175.00000000000003  6390360 4.5904000000000007
16.00 68.1889 178.0  6435660 4.5904000000000007
16.10 68.2182 178.0  6518710 4.5904000000000007
16.20 69.1935 180.0  6538340 4.5904000000000007
16.30 69.4244 181.0  6642530 4.5904000000000007
16.40 70.1837 182.0  6645550 4.5904000000000007
16.50 70.6241 182.0  6748230 4.5464727272727279
16.60 71.1742 184.0  6770880 4.5464727272727279
16.70 71.7898 185.0  6855440 4.5464727272727279
16.80 72.165 186.0  6893190 4.5464727272727279
16.90 72.9095 187.0  6964160 4.5464727272727279
17.00 73.156 188.0  7015500 4.5464727272727279
17.10 73.9852 190.0  7056270 4.5464727272727279
17.20 1 190.0  7056270 4.5464727272727279
17.30 2 190.0  7169520 4.5464727272727279
17.40 2 190.0  7172540 4.5464727272727279
17.50 4 176.0  7178580 4.5464727272727279
17.60 8 158.0  7178580 3.1298181818181825
17.70 16 142.00000000000003  7190660 3.1298181818181825
17.80 16 142.00000000000003  7214820 3.1298181818181825
17.90 32 139.0  7237470 3.1298181818181825
18.00 36.7698 146.0  7263140 3.1298181818181825
18.10 37.2563 137.0  7317500 3.1298181818181825
18.20 37.7365 136.0  7373370 3.1298181818181825
18.30 38.7049 133.0  7402060 3.1298181818181825
18.40 39.6749 133.0  7430750 3.1298181818181825
18.50 40.2258 133.0  7489640 3.1298181818181825
18.60 40.6463 133.0  7550040 3.1298181818181825
18.70 41.619 133.0  7586280 2.9650909090909097
18.80 42.5931 133.0  7611950 2.9650909090909097
18.90 43.2225 133.0  7675370 2.9650909090909097
19.00 43.5912 132.0  7740300 2.9650909090909097
19.10 44.5445 133.0  7784090 2.9650909090909097
19.20 45.5218 133.0  7811270 2.9650909090909097
19.30 46.1979 133.0  7874690 2.9650909090909097
19.40 46.6075 132.0  7944150 2.9650909090909097
19.50 47.4792 133.0  7993980 2.9650909090909097
19.60 48.4592 133.0  8025690 2.9650909090909097
19.70 49.1967 133.0  8087600 2.9650909090909097
19.80 49.6419 131.0  8161590 4.1840727272727278
19.90 50.4216 133.0  8218970 4.1840727272727278
20.00 51.4039 133.0  8255210 4.1840727272727278
20.10 52.1955 133.0  8314100 4.1840727272727278
20.20 52.6534 132.0  8392620 4.1840727272727278
20.30 53.3703 133.0  8453020 4.1840727272727278
20.40 54.3545 135.0  8487750 4.1840727272727278
20.50 55.0675 137.0  8554190 4.1840727272727278
20.60 55.4656 138.0  8637240 4.1840727272727278
20.70 56.3245 140.0  8676500 4.1840727272727278
20.80 57.2928 143.00000000000003  8721800 4.1840727272727278
20.90 57.6409 144.00000000000003  8807870 4.7002181818181832
21.00 58.2965 145.0  8860720 4.7002181818181832
21.10 59.2832 147.0  8895450 4.7002181818181832
21.20 59.67 149.0  8984540 4.7002181818181832
21.30 60.2704 150.0  9037390 4.7002181818181832
21.40 61.2579 152.0  9075140 4.7002181818181832
21.50 61.5836 153.0  9167250 4.7002181818181832
21.60 62.2459 155.0  9208020 4.7002181818181832
21.70 63.1392 157.0  9260870 4.7002181818181832
21.80 63.3606 158.0  9354490 4.7002181818181832
21.90 64.2229 159.0  9374120 4.7002181818181832
22.00 64.8428 161.0  9452640 4.6892363636363648
22.10 65.2119 162.0  9516060 4.6892363636363648
22.20 66.2013 164.0  9550790 4.6892363636363648
22.30 66.4576 165.0  9650450 4.6892363636363648
22.40 67.191 167.0  9673100 4.6892363636363648
22.50 67.828 168.0  9751620 4.6892363636363648
22.60 68.1809 169.0  9810510 4.6892363636363648
22.70 69.1712 172.0  9854300 4.6892363636363648
22.80 69.2868 173.00000000000003  9947920 4.6892363636363648
22.90 70.1617 174.00000000000003  9958490 4.6892363636363648
23.00 70.5597 175.00000000000003  10064190 4.6892363636363648
23.10 71.1525 176.0  10091370 4.6453090909090919
23.20 71.8101 178.0  10171400 4.6453090909090919
23.30 72.1436 179.0  10224250 4.6453090909090919
23.40 73.0117 180.0  10280120 4.6453090909090919
23.50 73.1349 181.0  10354110 4.6453090909090919
23.60 74.1264 183.0  10390350 4.6453090909090919
23.70 74.2342 184.0  10483970 4.6453090909090919
23.80 75.1181 186.0  10502090 4.6453090909090919
23.90 75.3574 187.0  10610810 4.6453090909090919
24.00 76.1101 188.0  10615340 4.6453090909090919
24.10 76.4641 190.0  10716510 4.6453090909090919
24.20 1 190.0  10716510 4.5464727272727279
24.30 1 190.0  10834290 4.5464727272727279
24.40 2 190.0  10834290 4.5464727272727279
24.50 4 176.0  10837310 4.5464727272727279
24.60 4 176.0  10843350 4.5464727272727279
24.70 8 158.0  10855430 4.5464727272727279
24.80 16 142.00000000000003  10855430 4.5464727272727279
24.90 32 139.0  10879590 4.5464727272727279
25.00 34 137.0  10927910 4.5464727272727279
25.10 38.6784 146.0  10973210 4.5464727272727279
25.20 39.649 139.0  10991330 4.5464727272727279
25.30 40.4483 133.0  11044180 2.383054545454546
25.40 40.7685 132.0  11104580 2.383054545454546
25.50 41.5944 133.0  11155920 2.383054545454546
25.60 42.5689 133.0  11178570 2.383054545454546
25.70 43.4296 133.0  11229910 2.383054545454546
25.80 43.7966 131.0  11294840 2.383054545454546
25.90 44.5214 133.0  11353730 2.383054545454546
26.00 45.4992 133.0  11380910 2.383054545454546
26.10 46.4134 133.0  11429230 2.383054545454546
26.20 46.821 131.0  11498690 2.383054545454546
26.30 47.4576 133.0  11563620 2.383054545454546
26.40 48.438 133.0  11595330 4.0083636363636375
26.50 49.3788 133.0  11642140 4.0083636363636375
26.60 49.8224 131.0  11716130 4.0083636363636375
26.70 50.4012 133.0  11788610 4.0083636363636375
26.80 51.3839 133.0  11824850 4.0083636363636375
26.90 52.3672 133.0  11868640 4.0083636363636375
27.00 52.8425 131.0  11947160 4.0083636363636375
27.10 53.3511 133.0  12027190 4.0083636363636375
27.20 54.3356 133.0  12067960 4.0083636363636375
27.30 55.3207 133.0  12108730 4.0083636363636375
27.40 55.8246 133.0  12191780 4.0083636363636375
27.50 56.3062 134.0  12271810 4.9198545454545464
27.60 57.2923 137.0  12309560 4.9198545454545464
27.70 58.1758 139.0  12362410 4.9198545454545464
27.80 58.5699 140.0  12449990 4.9198545454545464
27.90 59.2659 141.0  12504350 4.9198545454545464
28.00 60.2533 144.00000000000003  12539080 4.9198545454545464
28.10 60.7163 145.0  12629680 4.9198545454545464
28.20 61.2411 146.0  12693100 4.9198545454545464
28.30 62.2294 149.0  12723300 4.9198545454545464
28.40 62.7097 150.0  12815410 4.9198545454545464
28.50 63.2179 151.0  12877320 4.9198545454545464
28.60 64.2069 153.0  12910540 4.6453090909090919
28.70 64.5796 155.0  13007180 4.6453090909090919
28.80 65.1962 156.0  13053990 4.6453090909090919
28.90 66.1102 158.0  13105330 4.6453090909090919
29.00 66.3518 159.0  13203480 4.6453090909090919
29.10 67.1757 161.0  13226130 4.6453090909090919
29.20 67.7981 162.0  13306160 4.6453090909090919
29.30 68.1659 163.0  13371090 4.6453090909090919
29.40 69.1563 165.0  13408840 4.6453090909090919
29.50 69.4017 167.0  13513030 4.6453090909090919
29.60 70.1471 168.0  13532660 4.6453090909090919
29.70 70.7434 169.0  13618730 5.150472727272728
29.80 71.1381 170.0  13674600 5.150472727272728
29.90 72.06 172.0  13725940 5.150472727272728
30.00 72.1986 173.00000000000003  13815030 5.150472727272728
30.10 73.1208 175.00000000000003  13834660 5.150472727272728
30.20 73.4483 176.0  13944890 5.150472727272728
30.30 74.1125 177.0  13964520 5.150472727272728
30.40 74.6771 179.0  14056630 5.150472727272728
30.50 75.1045 180.0  14098910 5.150472727272728
30.60 75.8597 181.0  14169880 5.150472727272728
30.70 76.0966 182.0  14233300 5.150472727272728
30.80 77.0241 184.0  14284640 4.8429818181818192
30.90 77.089 185.0  14366180 4.8429818181818192
31.00 78.0815 186.0  14400910 4.8429818181818192
31.10 78.1967 188.0  14496040 4.8429818181818192
31.20 79.0742 189.0  14518690 4.8429818181818192
31.30 79.3015 190.0  14627410 4.8429818181818192
31.40 1 190.0  14628920 4.8429818181818192
31.50 1 190.0  14751230 4.8429818181818192
31.60 2 190.0  14751230 4.8429818181818192
31.70 4 176.0  14754250 4.8429818181818192
31.80 4 176.0  14760290 4.8429818181818192
31.90 8 158.0  14772370 3.5471272727272734
32.00 16 142.00000000000003  14772370 3.5471272727272734
32.10 29 138.0  14796530 3.5471272727272734
32.20 32 139.0  14844850 3.5471272727272734
32.30 39.636 146.0  14867500 3.5471272727272734
32.40 40.6084 140.0  14903740 3.5471272727272734
32.50 41.025 132.0  14964140 3.5471272727272734
32.60 41.582 133.0  15026050 3.5471272727272734
32.70 42.5569 133.0  15054740 3.5471272727272734
32.80 43.5329 133.0  15089470 3.5471272727272734
32.90 44.0355 132.0  15154400 3.5471272727272734
33.00 44.5099 133.0  15220840 3.2616000000000005
33.10 45.488 133.0  15257080 3.2616000000000005
33.20 46.4669 133.0  15288790 3.2616000000000005
33.30 47.0445 132.0  15358250 3.2616000000000005
33.40 47.4468 133.0  15429220 3.2616000000000005
33.50 48.4274 133.0  15471500 3.2616000000000005
33.60 49.4089 133.0  15504720 3.2616000000000005
33.70 50.0325 132.0  15575690 3.2616000000000005
33.80 50.4902 132.0  15651190 3.2616000000000005
33.90 51.3739 133.0  15701020 3.2616000000000005
34.00 52.3574 133.0  15738770 3.2616000000000005
34.10 53.0406 132.0  15806720 4.260945454545455
34.20 53.5287 131.0  15886750 4.260945454545455
34.30 54.3262 133.0  15944130 4.260945454545455
34.40 55.3114 133.0  15983390 4.260945454545455
34.50 56.0122 133.0  16051340 4.260945454545455
34.60 56.4745 135.0  16135900 4.260945454545455
34.70 57.2834 137.0  16185730 4.260945454545455
34.80 58.2701 139.0  16221970 4.260945454545455
34.90 58.7487 140.0  16309550 4.260945454545455
35.00 59.2572 141.0  16380520 4.260945454545455
35.10 60.2448 144.00000000000003  16413740 4.260945454545455
35.20 60.8888 145.0  16489240 4.9637818181818192
35.30 61.2328 146.0  16569270 4.9637818181818192
35.40 62.2211 149.0  16599470 4.9637818181818192
35.50 62.8767 150.0  16674970 4.9637818181818192
35.60 63.2098 151.0  16753490 4.9637818181818192
35.70 64.1989 153.0  16780670 4.9637818181818192
35.80 64.7418 155.0  16866740 4.9637818181818192
35.90 65.1883 156.0  16930160 4.9637818181818192
36.00 66.178 158.0  16964890 4.9637818181818192
36.10 66.5097 159.0  17064550 4.9637818181818192
36.20 67.168 161.0  17100790 4.9637818181818192
36.30 67.9526 162.0  17165720 4.9198545454545464
36.40 68.1583 163.0  17247260 4.9198545454545464
36.50 69.1489 165.0  17268400 4.9198545454545464
36.60 69.5527 167.0  17372590 4.9198545454545464
36.70 70.1398 168.0  17408830 4.9198545454545464
36.80 70.8915 169.0  17478290 4.9198545454545464
36.90 71.1309 170.0  17550770 4.9198545454545464
37.00 72.1222 173.00000000000003  17585500 4.9198545454545464
37.10 72.3437 174.00000000000003  17689690 4.9198545454545464
37.20 73.1138 175.00000000000003  17703280 4.9198545454545464
37.30 73.591 176.0  17804450 4.9198545454545464
37.40 74.1056 177.0  17840690 4.9088727272727279
37.50 74.8175 179.0  17916190 4.9088727272727279
37.60 75.0976 180.0  17975080 4.9088727272727279
37.70 75.9978 181.0  18029440 4.9088727272727279
37.80 76.0899 182.0  18109470 4.9088727272727279
37.90 77.0823 184.0  18144200 4.9088727272727279
38.00 77.2249 186.0  18242350 4.9088727272727279
38.10 78.0749 186.0  18260470 4.9088727272727279
38.20 78.3307 188.0  18372210 4.9088727272727279
38.30 79.0677 189.0  18378250 4.9088727272727279
38.40 79.4337 190.0  18488480 4.9088727272727279
38.50 1 190.0  18488480 4.7112000000000007
38.60 1 190.0  18610790 4.7112000000000007
38.70 2 189.0  18610790 4.7112000000000007
38.80 4 176.0  18613810 4.7112000000000007
38.90 4 176.0  18619850 4.7112000000000007
39.00 8 158.0  18631930 4.7112000000000007
39.10 16 142.00000000000003  18631930 4.7112000000000007
39.20 32 139.0  18656090 4.7112000000000007
39.30 32 139.0  18704410 4.7112000000000007
39.40 39.636 146.0  18743670 4.7112000000000007
39.50 40.6084 140.0  18763300 4.7112000000000007
39.60 41.3166 133.0  18823700 2.4379636363636368
39.70 41.6541 132.0  18885610 2.4379636363636368
39.80 42.5569 133.0  18932420 2.4379636363636368
39.90 43.5329 133.0  18956580 2.4379636363636368
40.00 44.3072 133.0  19013960 2.4379636363636368
40.10 44.6893 131.0  19080400 2.4379636363636368
40.20 45.488 133.0  19134760 2.4379636363636368
40.30 46.4669 133.0  19163450 2.4379636363636368
40.40 47.299 133.0  19217810 2.4379636363636368
40.50 47.6991 131.0  19288780 2.4379636363636368
40.60 48.4274 133.0  19349180 2.4379636363636368
40.70 49.4089 133.0  19382400 4.0632727272727278
40.80 50.2718 133.0  19435250 4.0632727272727278
40.90 50.7273 131.0  19510750 4.0632727272727278
41.00 51.3739 133.0  19578700 4.0632727272727278
41.10 52.3574 133.0  19616450 4.0632727272727278
41.20 53.2664 133.0  19666280 4.0632727272727278
41.30 53.7524 131.0  19746310 4.0632727272727278
41.40 54.3262 133.0  19821810 4.0632727272727278
41.50 55.3114 133.0  19861070 4.0632727272727278
41.60 56.226 134.0  19910900 4.0632727272727278
41.70 56.6866 135.0  19995460 4.0632727272727278
41.80 57.2834 137.0  20063410 4.9528000000000008
41.90 58.2701 139.0  20098140 4.9528000000000008
42.00 58.9526 140.0  20169110 4.9528000000000008
42.10 59.3416 142.00000000000003  20258200 4.9528000000000008
42.20 60.2448 144.00000000000003  20291420 4.9528000000000008
42.30 61.0856 145.0  20348800 4.9528000000000008
42.40 61.4122 147.0  20440910 4.9528000000000008
42.50 62.2211 149.0  20477150 4.9528000000000008
42.60 63.0673 150.0  20534530 4.9528000000000008
42.70 63.3679 152.0  20629660 4.9528000000000008
42.80 64.1989 153.0  20658350 4.9528000000000008
42.90 64.927 155.0  20726300 4.8210181818181832
43.00 65.1883 156.0  20807840 4.8210181818181832
43.10 66.178 158.0  20832000 4.8210181818181832
43.20 66.6899 159.0  20924110 4.8210181818181832
43.30 67.168 161.0  20978470 4.8210181818181832
43.40 68.129 163.0  21025280 4.8210181818181832
43.50 68.3342 164.0  21124940 4.8210181818181832
43.60 69.1489 165.0  21144570 4.8210181818181832
43.70 69.725 167.0  21232150 4.8210181818181832
43.80 70.1398 168.0  21286510 4.8210181818181832
43.90 71.0605 169.0  21337850 4.8210181818181832
44.00 71.2152 171.0  21428450 5.1065454545454561
44.10 72.1222 173.00000000000003  21445060 5.1065454545454561
44.20 72.5094 174.00000000000003  21553780 5.1065454545454561
44.30 73.1138 175.00000000000003  21580960 5.1065454545454561
44.40 73.7539 176.0  21664010 5.1065454545454561
44.50 74.1056 177.0  21718370 5.1065454545454561
44.60 74.9777 179.0  21775750 5.1065454545454561
44.70 75.0976 180.0  21852760 5.1065454545454561
44.80 76.0899 182.0  21889000 5.1065454545454561
44.90 76.2343 183.0  21987150 5.1065454545454561
45.00 77.0823 184.0  22003760 5.1065454545454561
45.10 77.3801 186.0  22118520 5.0186909090909104
45.20 78.0749 186.0  22124560 5.0186909090909104
45.30 78.4838 188.0  22237810 5.0186909090909104
45.40 79.0677 189.0  22255930 5.0186909090909104
45.50 79.5846 190.0  22348040 5.0186909090909104
45.60 1 190.0  22348040 5.0186909090909104
45.70 1 190.0  22470350 5.0186909090909104
45.80 2 189.0  22473370 5.0186909090909104
45.90 4 176.0  22473370 5.0186909090909104
46.00 8 158.0  22479410 5.0186909090909104
46.10 8 158.0  22491490 5.0186909090909104
46.20 16 142.00000000000003  22503570 2.8003636363636368
46.30 32 139.0  22515650 2.8003636363636368
46.40 39.1025 136.0  22563970 2.8003636363636368
46.50 39.636 146.0  22621350 2.8003636363636368
46.60 40.6084 140.0  22640980 2.8003636363636368
46.70 41.582 133.0  22683260 2.8003636363636368
46.80 41.9413 131.0  22745170 2.8003636363636368
46.90 42.5569 133.0  22808590 2.8003636363636368
47.00 43.5329 133.0  22834260 2.8003636363636368
47.10 44.5099 133.0  22873520 2.8003636363636368
47.20 44.9571 131.0  22939960 2.8003636363636368
47.30 45.488 133.0  23007910 3.6679272727272734
47.40 46.4669 133.0  23041130 3.6679272727272734
47.50 47.4468 133.0  23077370 3.6679272727272734
47.60 47.95 131.0  23148340 3.6679272727272734
47.70 48.4274 133.0  23220820 3.6679272727272734
47.80 49.4089 133.0  23260080 3.6679272727272734
47.90 50.391 133.0  23294810 3.6679272727272734
48.00 50.9634 131.0  23370310 3.6679272727272734
48.10 51.4323 132.0  23447320 3.6679272727272734
48.20 52.3574 133.0  23494130 3.6679272727272734
48.30 53.3415 133.0  23533390 3.6679272727272734
48.40 53.9752 131.0  23605870 4.3488000000000007
48.50 54.4732 131.0  23687410 4.3488000000000007
48.60 55.3114 133.0  23738750 4.3488000000000007
48.70 56.2971 134.0  23778010 4.3488000000000007
48.80 56.898 135.0  23855020 4.3488000000000007
48.90 57.3357 137.0  23941090 4.3488000000000007
49.00 58.2701 139.0  23975820 4.3488000000000007
49.10 59.1559 141.0  24028670 4.3488000000000007
49.20 59.5435 143.00000000000003  24117760 4.3488000000000007
49.30 60.2448 144.00000000000003  24169100 4.3488000000000007
49.40 61.2328 146.0  24208360 4.3488000000000007
49.50 61.6073 147.0  24300470 5.0516363636363648
49.60 62.2211 149.0  24354830 5.0516363636363648
49.70 63.2098 151.0  24394090 5.0516363636363648
49.80 63.557 152.0  24489220 5.0516363636363648
49.90 64.1989 153.0  24534520 5.0516363636363648
50.00 65.1115 156.0  24585860 5.0516363636363648
50.10 65.3721 157.0  24684010 5.0516363636363648
50.20 66.178 158.0  24709680 5.0516363636363648
50.30 66.8696 159.0  24783670 5.0516363636363648
50.40 67.168 161.0  24856150 5.0516363636363648
50.50 68.1583 163.0  24884840 5.0516363636363648
50.60 68.5096 164.0  24987520 4.9967272727272736
50.70 69.1489 165.0  25022250 4.9967272727272736
50.80 69.8969 167.0  25091710 4.9967272727272736
50.90 70.1398 168.0  25164190 4.9967272727272736
51.00 71.1309 170.0  25197410 4.9967272727272736
51.10 71.3835 172.0  25304620 4.9967272727272736
51.20 72.1222 173.00000000000003  25321230 4.9967272727272736
51.30 72.661 174.00000000000003  25413340 4.9967272727272736
51.40 73.1138 175.00000000000003  25458640 4.9967272727272736
51.50 73.9164 176.0  25523570 4.9967272727272736
51.60 74.1056 177.0  25596050 4.9967272727272736
51.70 75.0976 180.0  25635310 4.7112000000000007
51.80 75.2174 181.0  25730440 4.7112000000000007
51.90 76.0899 182.0  25748560 4.7112000000000007
52.00 76.3916 184.0  25863320 4.7112000000000007
52.10 77.0823 184.0  25872380 4.7112000000000007
52.20 77.5351 186.0  25979590 4.7112000000000007
52.30 78.0749 186.0  26002240 4.7112000000000007
52.40 78.6365 188.0  26097370 4.7112000000000007
52.50 79.0677 189.0  26133610 4.7112000000000007
52.60 79.7353 190.0  26207600 4.7112000000000007
52.70 1 190.0  26207600 4.7112000000000007
52.80 1 190.0  26329910 5.0516363636363648
52.90 2 189.0  26332930 5.0516363636363648
53.00 4 176.0  26332930 5.0516363636363648
53.10 8 158.0  26338970 5.0516363636363648
53.20 8 158.0  26351050 5.0516363636363648
53.30 16 142.00000000000003  26375210 5.0516363636363648
53.40 32 139.0  26375210 5.0516363636363648
53.50 39.3829 141.0  26423530 5.0516363636363648
53.60 39.636 146.0  26482420 5.0516363636363648
53.70 40.6084 140.0  26518660 5.0516363636363648
53.80 41.582 133.0  26542820 5.0516363636363648
53.90 42.2265 133.0  26604730 1.9986909090909095
54.00 42.5804 132.0  26668150 1.9986909090909095
54.10 43.5329 133.0  26711940 1.9986909090909095
54.20 44.5099 133.0  26737610 1.9986909090909095
54.30 45.2233 133.0  26799520 1.9986909090909095
54.40 45.6197 132.0  26867470 1.9986909090909095
54.50 46.4669 133.0  26918810 1.9986909090909095
54.60 47.4468 133.0  26949010 1.9986909090909095
54.70 48.1997 133.0  27007900 1.9986909090909095
54.80 48.6335 131.0  27080380 1.9986909090909095
