0.00 1 0.0  0 0
0.10 1 0.0  40 0
0.20 2 130.0  1550 0
0.30 4 131.0  3060 0
0.40 6 132.0  9100 0
0.50 8 132.0  21180 0
0.60 16 137.0  21180 0
0.70 32 146.0  45340 0
0.80 32 146.0  93660 0
0.90 64 166.0  93660 0
1.00 68 168.0  146510 0
1.10 1 187.0  146510 1.0655272727272729
1.20 1 187.0  149530 1.0655272727272729
1.30 2 187.0  152550 1.0655272727272729
1.40 3 180.0  152550 1.0655272727272729
1.50 5 169.0  158590 1.0655272727272729
1.60 5 169.0  167650 1.0655272727272729
1.70 8 157.0  179730 1.0655272727272729
1.80 13 146.0  182750 1.0655272727272729
1.90 17 142.00000000000003  203890 1.0655272727272729
2.00 20 141.0  234090 1.0655272727272729
2.10 30 142.00000000000003  234090 1.0655272727272729
2.20 44 146.0  282410 0.98836363636363656
2.30 46 147.0  351870 0.98836363636363656
2.40 49.7495 151.0  374520 0.98836363636363656
2.50 50.6264 147.0  425860 0.98836363636363656
2.60 50.7448 148.0  501360 0.98836363636363656
2.70 51.7016 153.0  507400 0.98836363636363656
2.80 52.3361 163.0  578370 0.98836363636363656
2.90 52.679 163.0  596490 0.98836363636363656
3.00 1 187.0  602530 0.98836363636363656
3.10 1 187.0  684070 0.98836363636363656
3.20 2 185.0  684070 0.98836363636363656
3.30 4 172.0  687090 2.9431272727272733
3.40 4 172.0  693130 2.9431272727272733
3.50 8 156.0  705210 2.9431272727272733
3.60 16 142.00000000000003  705210 2.9431272727272733
3.70 26.2299 138.0  729370 2.9431272727272733
3.80 26.2299 138.0  768630 2.9431272727272733
3.90 27.2038 152.0  768630 2.9431272727272733
4.00 28.0013 163.0  809400 2.9431272727272733
4.10 28.1794 163.0  851680 2.9431272727272733
4.20 29.1567 134.0  884900 2.9431272727272733
4.30 30.1355 134.0  895470 2.9431272727272733
4.40 30.9221 133.0  940770 1.8449454545454549
4.50 31.1156 134.0  987580 1.8449454545454549
4.60 32.0969 134.0  1025330 1.8449454545454549
4.70 33.0793 132.0  1035900 1.8449454545454549
4.80 33.8861 132.0  1085730 1.8449454545454549
4.90 34.0627 133.0  1137070 1.8449454545454549
5.00 35.0471 133.0  1177840 1.8449454545454549
