0.00 1 0.0  0 0
13.20 63.4848 134.0  7257100 5.4250181818181833
13.30 64.1431 135.0  7325050 5.4250181818181833
13.40 65.1333 138.0  7373370 5.4250181818181833
13.50 65.7751 139.0  7451890 5.4250181818181833
13.60 66.2296 140.0  7544000 5.4250181818181833
13.70 67.1147 142.00000000000003  7589300 5.4250181818181833
13.80 67.9146 144.00000000000003  7652720 5.4250181818181833
13.90 68.3403 146.0  7755400 5.4250181818181833
14.00 69.0971 147.0  7799190 5.4250181818181833
14.10 69.9315 149.0  7859590 5.4250181818181833
14.20 70.3166 151.0  7965290 5.4250181818181833
14.30 71.0805 151.0  8004550 5.4360000000000008
14.40 71.8502 153.0  8072500 5.4360000000000008
14.50 72.1835 155.0  8166120 5.4360000000000008
14.60 73.0648 156.0  8202360 5.4360000000000008
14.70 73.651 158.0  8291450 5.4360000000000008
14.80 74.0572 158.0  8362420 5.4360000000000008
14.90 75.0499 161.0  8403190 5.4360000000000008
15.00 75.3558 163.0  8516440 5.4360000000000008
15.10 76.0428 163.0  8551170 5.4360000000000008
15.20 76.7236 165.0  8631200 5.4360000000000008
15.30 77.0358 166.0  8706700 5.4360000000000008
15.40 78.029 168.0  8747470 5.4030545454545464
15.50 78.2849 170.0  8859210 5.4030545454545464
15.60 79.0224 170.0  8886390 5.4030545454545464
15.70 79.5647 173.00000000000003  8984540 5.4030545454545464
15.80 80.016 173.00000000000003  9035880 5.4030545454545464
15.90 80.7995 175.00000000000003  9105340 5.4030545454545464
16.00 81.0097 175.00000000000003  9185370 5.4030545454545464
16.10 82.0035 178.0  9227650 5.4030545454545464
16.20 82.1984 180.0  9333350 5.4030545454545464
16.30 82.9975 180.0  9352980 5.4030545454545464
16.40 83.3582 182.0  9475290 5.4030545454545464
16.50 83.9798 182.0  9497940 5.4579636363636377
16.60 84.5021 185.0  9600620 5.4579636363636377
16.70 84.9624 185.0  9641390 5.4579636363636377
16.80 85.6074 187.0  9727460 5.4579636363636377
16.90 85.9455 187.0  9781820 5.4579636363636377
17.00 86.6985 190.0  9855810 5.4579636363636377
17.10 86.9289 190.0  9863360 5.4579636363636377
17.20 1 190.0  9863360 5.4579636363636377
17.30 1 190.0  9996240 5.4579636363636377
17.40 2 188.0  9999260 5.4579636363636377
17.50 4 175.00000000000003  10002280 5.4579636363636377
17.60 8 158.0  10005300 3.6898909090909098
17.70 13 146.0  10017380 3.6898909090909098
17.80 16 143.00000000000003  10041540 3.6898909090909098
17.90 32 147.0  10041540 3.6898909090909098
18.00 43.0233 154.0  10064190 3.6898909090909098
18.10 43.0929 155.0  10064190 3.6898909090909098
18.20 43.0929 155.0  10064190 3.6898909090909098
18.30 1 155.0  10064190 3.6898909090909098
18.40 1 155.0  10064190 3.6898909090909098
18.50 1 155.0  10064190 3.6898909090909098
18.60 1 155.0  10064190 3.6898909090909098
18.70 1 155.0  10064190 0.42829090909090917
18.80 1 155.0  10064190 0.42829090909090917
18.90 1 155.0  10064190 0.42829090909090917
19.00 1 155.0  10064190 0.42829090909090917
19.10 1 155.0  10064190 0.42829090909090917
19.20 1 155.0  10064190 0.42829090909090917
19.30 1 155.0  10064190 0.42829090909090917
19.40 1 155.0  10064190 0.42829090909090917
19.50 1 155.0  10064190 0.42829090909090917
19.60 1 155.0  10064190 0.42829090909090917
19.70 1 155.0  10064190 0.42829090909090917
19.80 1 155.0  10064190 0.0
19.90 1 155.0  10064190 0.0
20.00 1 155.0  10064190 0.0
20.10 1 155.0  10064190 0.0
20.20 1 155.0  10064190 0.0
20.30 1 155.0  10064190 0.0
20.40 1 155.0  10064190 0.0
20.50 1 155.0  10064190 0.0
20.60 1 155.0  10064190 0.0
20.70 1 155.0  10064190 0.0
20.80 1 155.0  10064190 0.0
20.90 1 155.0  10064190 0.0
21.00 1 155.0  10064190 0.0
21.10 1 155.0  10064190 0.0
21.20 1 155.0  10064190 0.0
21.30 1 155.0  10064190 0.0
21.40 1 155.0  10064190 0.0
21.50 1 155.0  10064190 0.0
21.60 1 155.0  10064190 0.0
21.70 1 155.0  10064190 0.0
21.80 1 155.0  10064190 0.0
21.90 1 155.0  10064190 0.0
22.00 1 155.0  10064190 0.0
22.10 1 155.0  10064190 0.0
22.20 1 155.0  10064190 0.0
22.30 1 155.0  10064190 0.0
22.40 1 155.0  10064190 0.0
22.50 1 155.0  10064190 0.0
22.60 1 155.0  10064190 0.0
22.70 1 155.0  10064190 0.0
22.80 1 155.0  10064190 0.0
22.90 1 155.0  10064190 0.0
23.00 1 155.0  10064190 0.0
23.10 1 155.0  10064190 0.0
23.20 1 155.0  10064190 0.0
23.30 1 155.0  10064190 0.0
23.40 1 155.0  10064190 0.0
23.50 1 155.0  10064190 0.0
23.60 1 155.0  10064190 0.0
23.70 1 155.0  10064190 0.0
23.80 1 155.0  10064190 0.0
23.90 1 155.0  10064190 0.0
24.00 1 155.0  10064190 0.0
24.10 1 155.0  10064190 0.0
24.20 1 155.0  10064190 0.0
24.30 1 155.0  10064190 0.0
24.40 1 155.0  10064190 0.0
24.50 1 155.0  10064190 0.0
24.60 1 155.0  10064190 0.0
24.70 1 155.0  10064190 0.0
24.80 1 155.0  10064190 0.0
24.90 1 155.0  10064190 0.0
25.00 1 155.0  10064190 0.0
25.10 1 155.0  10064190 0.0
25.20 1 155.0  10064190 0.0
25.30 1 155.0  10064190 0.0
25.40 1 155.0  10064190 0.0
25.50 1 155.0  10064190 0.0
25.60 1 155.0  10064190 0.0
25.70 1 155.0  10064190 0.0
25.80 1 155.0  10064190 0.0
25.90 1 155.0  10064190 0.0
26.00 1 155.0  10064190 0.0
26.10 1 155.0  10064190 0.0
26.20 1 155.0  10064190 0.0
26.30 1 155.0  10064190 0.0
26.40 1 155.0  10064190 0.0
26.50 1 155.0  10064190 0.0
26.60 1 155.0  10064190 0.0
26.70 1 155.0  10064190 0.0
26.80 1 155.0  10064190 0.0
26.90 1 155.0  10064190 0.0
27.00 1 155.0  10064190 0.0
27.10 1 155.0  10064190 0.0
27.20 1 155.0  10064190 0.0
27.30 1 155.0  10064190 0.0
27.40 1 155.0  10064190 0.0
27.50 1 155.0  10064190 0.0
27.60 1 155.0  10064190 0.0
27.70 1 155.0  10064190 0.0
27.80 1 155.0  10064190 0.0
27.90 1 155.0  10064190 0.0
28.00 1 155.0  10064190 0.0
28.10 1 155.0  10064190 0.0
28.20 1 155.0  10064190 0.0
28.30 1 155.0  10064190 0.0
28.40 1 155.0  10064190 0.0
28.50 1 155.0  10064190 0.0
28.60 1 155.0  10064190 0.0
28.70 1 155.0  10064190 0.0
28.80 1 155.0  10064190 0.0
28.90 1 155.0  10064190 0.0
29.00 1 155.0  10064190 0.0
29.10 1 155.0  10064190 0.0
29.20 1 155.0  10064190 0.0
29.30 1 155.0  10064190 0.0
29.40 1 155.0  10064190 0.0
29.50 1 155.0  10064190 0.0
29.60 1 155.0  10064190 0.0
29.70 1 155.0  10064190 0.0
29.80 1 155.0  10064190 0.0
29.90 1 155.0  10064190 0.0
30.00 1 155.0  10064190 0.0
30.10 1 155.0  10064190 0.0
30.20 1 155.0  10064190 0.0
30.30 1 155.0  10064190 0.0
30.40 1 155.0  10064190 0.0
30.50 1 155.0  10064190 0.0
30.60 1 155.0  10064190 0.0
30.70 1 155.0  10064190 0.0
30.80 1 155.0  10064190 0.0
30.90 1 155.0  10064190 0.0
31.00 1 155.0  10064190 0.0
31.10 1 155.0  10064190 0.0
31.20 1 155.0  10064190 0.0
31.30 1 155.0  10064190 0.0
31.40 1 155.0  10064190 0.0
31.50 1 155.0  10064190 0.0
31.60 1 155.0  10064190 0.0
31.70 1 155.0  10064190 0.0
31.80 1 155.0  10064190 0.0
31.90 1 155.0  10064190 0.0
32.00 1 155.0  10064190 0.0
32.10 1 155.0  10064190 0.0
32.20 1 155.0  10064190 0.0
32.30 1 155.0  10064190 0.0
32.40 1 155.0  10064190 0.0
32.50 1 155.0  10064190 0.0
32.60 1 155.0  10064190 0.0
32.70 1 155.0  10064190 0.0
32.80 1 155.0  10064190 0.0
32.90 1 155.0  10064190 0.0
33.00 1 155.0  10064190 0.0
33.10 1 155.0  10064190 0.0
33.20 1 155.0  10064190 0.0
33.30 1 155.0  10064190 0.0
33.40 1 155.0  10064190 0.0
33.50 1 155.0  10064190 0.0
33.60 1 155.0  10064190 0.0
33.70 1 155.0  10064190 0.0
33.80 1 155.0  10064190 0.0
33.90 1 155.0  10064190 0.0
34.00 1 155.0  10064190 0.0
34.10 1 155.0  10064190 0.0
34.20 1 155.0  10064190 0.0
34.30 1 155.0  10064190 0.0
34.40 1 155.0  10064190 0.0
34.50 1 155.0  10064190 0.0
34.60 1 155.0  10064190 0.0
34.70 1 155.0  10064190 0.0
34.80 1 155.0  10064190 0.0
34.90 1 155.0  10064190 0.0
35.00 1 155.0  10064190 0.0
35.10 1 155.0  10064190 0.0
35.20 1 155.0  10064190 0.0
