17:41:19.525697 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 101360:104256, ack 1, win 58, options [nop,nop,TS val 27729895 ecr 27729895], length 2896
17:41:19.528119 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 104256:107152, ack 1, win 58, options [nop,nop,TS val 27729896 ecr 27729895], length 2896
17:41:19.530541 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 107152:110048, ack 1, win 58, options [nop,nop,TS val 27729896 ecr 27729896], length 2896
17:41:19.532964 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 110048:112944, ack 1, win 58, options [nop,nop,TS val 27729897 ecr 27729896], length 2896
17:41:19.535386 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 112944:115840, ack 1, win 58, options [nop,nop,TS val 27729898 ecr 27729897], length 2896
17:41:19.537809 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 115840:118736, ack 1, win 58, options [nop,nop,TS val 27729898 ecr 27729898], length 2896
17:41:19.540232 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 118736:121632, ack 1, win 58, options [nop,nop,TS val 27729899 ecr 27729898], length 2896
17:41:19.542653 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 121632:124528, ack 1, win 58, options [nop,nop,TS val 27729899 ecr 27729899], length 2896
17:41:19.545076 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 124528:127424, ack 1, win 58, options [nop,nop,TS val 27729900 ecr 27729899], length 2896
17:41:19.547498 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 127424:130320, ack 1, win 58, options [nop,nop,TS val 27729901 ecr 27729900], length 2896
17:41:19.549921 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 130320:133216, ack 1, win 58, options [nop,nop,TS val 27729901 ecr 27729901], length 2896
17:41:19.552343 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 133216:136112, ack 1, win 58, options [nop,nop,TS val 27729902 ecr 27729901], length 2896
17:41:19.554766 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 136112:139008, ack 1, win 58, options [nop,nop,TS val 27729902 ecr 27729902], length 2896
17:41:19.557188 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 139008:141904, ack 1, win 58, options [nop,nop,TS val 27729903 ecr 27729902], length 2896
17:41:19.559610 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 141904:144800, ack 1, win 58, options [nop,nop,TS val 27729904 ecr 27729903], length 2896
17:41:19.562033 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 144800:147696, ack 1, win 58, options [nop,nop,TS val 27729904 ecr 27729904], length 2896
17:41:19.564455 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 147696:150592, ack 1, win 58, options [nop,nop,TS val 27729905 ecr 27729904], length 2896
17:41:19.566877 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 150592:153488, ack 1, win 58, options [nop,nop,TS val 27729905 ecr 27729904], length 2896
17:41:19.569300 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 153488:156384, ack 1, win 58, options [nop,nop,TS val 27729906 ecr 27729906], length 2896
17:41:19.571722 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 156384:159280, ack 1, win 58, options [nop,nop,TS val 27729907 ecr 27729906], length 2896
17:41:19.574145 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 159280:162176, ack 1, win 58, options [nop,nop,TS val 27729907 ecr 27729907], length 2896
17:41:19.576567 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 162176:165072, ack 1, win 58, options [nop,nop,TS val 27729908 ecr 27729907], length 2896
17:41:19.578989 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 165072:167968, ack 1, win 58, options [nop,nop,TS val 27729908 ecr 27729908], length 2896
17:41:19.581412 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 167968:170864, ack 1, win 58, options [nop,nop,TS val 27729909 ecr 27729908], length 2896
17:41:19.583834 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 170864:173760, ack 1, win 58, options [nop,nop,TS val 27729910 ecr 27729909], length 2896
17:41:19.586257 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 173760:176656, ack 1, win 58, options [nop,nop,TS val 27729910 ecr 27729910], length 2896
17:41:19.588679 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 176656:179552, ack 1, win 58, options [nop,nop,TS val 27729911 ecr 27729910], length 2896
17:41:19.591101 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 179552:182448, ack 1, win 58, options [nop,nop,TS val 27729912 ecr 27729911], length 2896
17:41:19.593524 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 182448:185344, ack 1, win 58, options [nop,nop,TS val 27729912 ecr 27729912], length 2896
17:41:19.595946 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 185344:188240, ack 1, win 58, options [nop,nop,TS val 27729913 ecr 27729912], length 2896
17:41:19.598369 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 188240:191136, ack 1, win 58, options [nop,nop,TS val 27729913 ecr 27729913], length 2896
17:41:19.600791 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 191136:194032, ack 1, win 58, options [nop,nop,TS val 27729914 ecr 27729913], length 2896
17:41:19.603213 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 194032:196928, ack 1, win 58, options [nop,nop,TS val 27729915 ecr 27729914], length 2896
17:41:19.605636 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 196928:199824, ack 1, win 58, options [nop,nop,TS val 27729915 ecr 27729915], length 2896
17:41:19.608060 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 199824:202720, ack 1, win 58, options [nop,nop,TS val 27729916 ecr 27729915], length 2896
17:41:19.610484 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 202720:205616, ack 1, win 58, options [nop,nop,TS val 27729916 ecr 27729916], length 2896
17:41:19.612905 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 205616:208512, ack 1, win 58, options [nop,nop,TS val 27729917 ecr 27729916], length 2896
17:41:19.615325 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 208512:211408, ack 1, win 58, options [nop,nop,TS val 27729918 ecr 27729917], length 2896
17:41:19.617748 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 211408:214304, ack 1, win 58, options [nop,nop,TS val 27729918 ecr 27729918], length 2896
17:41:19.620170 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 214304:217200, ack 1, win 58, options [nop,nop,TS val 27729919 ecr 27729918], length 2896
17:41:19.622593 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 217200:220096, ack 1, win 58, options [nop,nop,TS val 27729919 ecr 27729919], length 2896
17:41:19.625015 IP 10.0.0.1.41414 > 10.0.0.2.5001: Flags [.], seq 220096:222992, ack 1, win 58, options [nop,nop,TS val 27729920 ecr 27729919], length 2896
