17:30:44.943570 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 311894727:311897623, ack 3867670594, win 58, options [nop,nop,TS val 27571250 ecr 27571248], length 2896
17:30:44.945992 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 2896:5792, ack 1, win 58, options [nop,nop,TS val 27571250 ecr 27571248], length 2896
17:30:44.948414 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 5792:8688, ack 1, win 58, options [nop,nop,TS val 27571251 ecr 27571250], length 2896
17:30:44.950837 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 8688:11584, ack 1, win 58, options [nop,nop,TS val 27571251 ecr 27571251], length 2896
17:30:44.953259 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 11584:14480, ack 1, win 58, options [nop,nop,TS val 27571252 ecr 27571251], length 2896
17:30:44.955682 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 14480:17376, ack 1, win 58, options [nop,nop,TS val 27571253 ecr 27571252], length 2896
17:30:44.958104 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 17376:20272, ack 1, win 58, options [nop,nop,TS val 27571253 ecr 27571253], length 2896
17:30:44.960526 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 20272:23168, ack 1, win 58, options [nop,nop,TS val 27571254 ecr 27571253], length 2896
17:30:44.962949 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 23168:26064, ack 1, win 58, options [nop,nop,TS val 27571254 ecr 27571254], length 2896
17:30:44.965371 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 26064:28960, ack 1, win 58, options [nop,nop,TS val 27571255 ecr 27571255], length 2896
17:30:44.967793 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 28960:31856, ack 1, win 58, options [nop,nop,TS val 27571256 ecr 27571255], length 2896
17:30:44.970216 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 31856:34752, ack 1, win 58, options [nop,nop,TS val 27571256 ecr 27571256], length 2896
17:30:44.972638 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 34752:37648, ack 1, win 58, options [nop,nop,TS val 27571257 ecr 27571256], length 2896
17:30:44.975061 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 37648:40544, ack 1, win 58, options [nop,nop,TS val 27571258 ecr 27571257], length 2896
17:30:44.977483 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 40544:43440, ack 1, win 58, options [nop,nop,TS val 27571258 ecr 27571258], length 2896
17:30:44.979905 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 43440:46336, ack 1, win 58, options [nop,nop,TS val 27571259 ecr 27571258], length 2896
17:30:44.982328 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 46336:49232, ack 1, win 58, options [nop,nop,TS val 27571259 ecr 27571259], length 2896
17:30:44.984750 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 49232:52128, ack 1, win 58, options [nop,nop,TS val 27571260 ecr 27571259], length 2896
17:30:44.987173 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 52128:55024, ack 1, win 58, options [nop,nop,TS val 27571261 ecr 27571260], length 2896
17:30:44.989595 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 55024:57920, ack 1, win 58, options [nop,nop,TS val 27571261 ecr 27571261], length 2896
17:30:44.992018 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 57920:60816, ack 1, win 58, options [nop,nop,TS val 27571262 ecr 27571261], length 2896
17:30:44.994440 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 60816:63712, ack 1, win 58, options [nop,nop,TS val 27571262 ecr 27571262], length 2896
17:30:44.996862 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 63712:66608, ack 1, win 58, options [nop,nop,TS val 27571263 ecr 27571262], length 2896
17:30:44.999285 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 66608:69504, ack 1, win 58, options [nop,nop,TS val 27571264 ecr 27571263], length 2896
17:30:45.001707 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 69504:72400, ack 1, win 58, options [nop,nop,TS val 27571264 ecr 27571264], length 2896
17:30:45.004129 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 72400:75296, ack 1, win 58, options [nop,nop,TS val 27571265 ecr 27571264], length 2896
17:30:45.006552 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 75296:78192, ack 1, win 58, options [nop,nop,TS val 27571265 ecr 27571265], length 2896
17:30:45.008974 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 78192:81088, ack 1, win 58, options [nop,nop,TS val 27571266 ecr 27571265], length 2896
17:30:45.011397 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [P.], seq 81088:83984, ack 1, win 58, options [nop,nop,TS val 27571267 ecr 27571266], length 2896
17:30:45.013819 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 83984:86880, ack 1, win 58, options [nop,nop,TS val 27571267 ecr 27571267], length 2896
17:30:45.016241 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 86880:89776, ack 1, win 58, options [nop,nop,TS val 27571268 ecr 27571267], length 2896
17:30:45.018664 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 89776:92672, ack 1, win 58, options [nop,nop,TS val 27571268 ecr 27571268], length 2896
17:30:45.021086 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 92672:95568, ack 1, win 58, options [nop,nop,TS val 27571269 ecr 27571268], length 2896
17:30:45.023508 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 95568:98464, ack 1, win 58, options [nop,nop,TS val 27571270 ecr 27571269], length 2896
17:30:45.025936 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 98464:101360, ack 1, win 58, options [nop,nop,TS val 27571270 ecr 27571270], length 2896
17:30:45.028359 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 101360:104256, ack 1, win 58, options [nop,nop,TS val 27571271 ecr 27571270], length 2896
17:30:45.030780 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 104256:107152, ack 1, win 58, options [nop,nop,TS val 27571271 ecr 27571271], length 2896
17:30:45.033200 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 107152:110048, ack 1, win 58, options [nop,nop,TS val 27571272 ecr 27571271], length 2896
17:30:45.035622 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 110048:112944, ack 1, win 58, options [nop,nop,TS val 27571273 ecr 27571272], length 2896
17:30:45.038064 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 112944:115840, ack 1, win 58, options [nop,nop,TS val 27571273 ecr 27571273], length 2896
17:30:45.040466 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 115840:118736, ack 1, win 58, options [nop,nop,TS val 27571274 ecr 27571273], length 2896
17:30:45.042889 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 118736:121632, ack 1, win 58, options [nop,nop,TS val 27571274 ecr 27571274], length 2896
17:30:45.045312 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 121632:124528, ack 1, win 58, options [nop,nop,TS val 27571275 ecr 27571274], length 2896
17:30:45.047733 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 124528:127424, ack 1, win 58, options [nop,nop,TS val 27571276 ecr 27571275], length 2896
17:30:45.050157 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 127424:130320, ack 1, win 58, options [nop,nop,TS val 27571276 ecr 27571276], length 2896
17:30:45.052578 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 130320:133216, ack 1, win 58, options [nop,nop,TS val 27571277 ecr 27571276], length 2896
17:30:45.055001 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 133216:136112, ack 1, win 58, options [nop,nop,TS val 27571278 ecr 27571277], length 2896
17:30:45.057423 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 136112:139008, ack 1, win 58, options [nop,nop,TS val 27571278 ecr 27571278], length 2896
17:30:45.059845 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [P.], seq 139008:141904, ack 1, win 58, options [nop,nop,TS val 27571279 ecr 27571278], length 2896
17:30:45.062271 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 141904:144800, ack 1, win 58, options [nop,nop,TS val 27571279 ecr 27571279], length 2896
17:30:45.064692 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 144800:147696, ack 1, win 58, options [nop,nop,TS val 27571280 ecr 27571279], length 2896
17:30:45.067113 IP 10.0.0.1.40768 > 10.0.0.2.5001: Flags [.], seq 147696:150592, ack 1, win 58, options [nop,nop,TS val 27571281 ecr 27571280], length 2896
