17:53:34.666334 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 102474683:102477579, ack 729078006, win 58, options [nop,nop,TS val 27913680 ecr 27913679], length 2896
17:53:34.668756 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 2896:5792, ack 1, win 58, options [nop,nop,TS val 27913681 ecr 27913680], length 2896
17:53:34.671175 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 5792:8688, ack 1, win 58, options [nop,nop,TS val 27913682 ecr 27913681], length 2896
17:53:34.673597 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 8688:11584, ack 1, win 58, options [nop,nop,TS val 27913682 ecr 27913681], length 2896
17:53:34.676019 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 11584:14480, ack 1, win 58, options [nop,nop,TS val 27913682 ecr 27913682], length 2896
17:53:34.678442 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 14480:17376, ack 1, win 58, options [nop,nop,TS val 27913683 ecr 27913682], length 2896
17:53:34.680865 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 17376:20272, ack 1, win 58, options [nop,nop,TS val 27913684 ecr 27913683], length 2896
17:53:34.683289 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 20272:23168, ack 1, win 58, options [nop,nop,TS val 27913685 ecr 27913684], length 2896
17:53:34.685711 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 23168:26064, ack 1, win 58, options [nop,nop,TS val 27913685 ecr 27913685], length 2896
17:53:34.688133 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 26064:28960, ack 1, win 58, options [nop,nop,TS val 27913686 ecr 27913685], length 2896
17:53:34.690558 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 28960:31856, ack 1, win 58, options [nop,nop,TS val 27913686 ecr 27913686], length 2896
17:53:34.692979 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 31856:34752, ack 1, win 58, options [nop,nop,TS val 27913687 ecr 27913686], length 2896
17:53:34.695399 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 34752:37648, ack 1, win 58, options [nop,nop,TS val 27913688 ecr 27913687], length 2896
17:53:34.697821 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [P.], seq 37648:40544, ack 1, win 58, options [nop,nop,TS val 27913688 ecr 27913688], length 2896
17:53:34.700243 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 40544:43440, ack 1, win 58, options [nop,nop,TS val 27913689 ecr 27913688], length 2896
17:53:34.702666 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 43440:46336, ack 1, win 58, options [nop,nop,TS val 27913689 ecr 27913689], length 2896
17:53:34.705089 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 46336:49232, ack 1, win 58, options [nop,nop,TS val 27913690 ecr 27913689], length 2896
17:53:34.707511 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 49232:52128, ack 1, win 58, options [nop,nop,TS val 27913691 ecr 27913690], length 2896
17:53:34.709933 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 52128:55024, ack 1, win 58, options [nop,nop,TS val 27913691 ecr 27913691], length 2896
17:53:34.712355 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 55024:57920, ack 1, win 58, options [nop,nop,TS val 27913692 ecr 27913691], length 2896
17:53:34.714778 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 57920:60816, ack 1, win 58, options [nop,nop,TS val 27913692 ecr 27913691], length 2896
17:53:34.717200 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 60816:63712, ack 1, win 58, options [nop,nop,TS val 27913693 ecr 27913693], length 2896
17:53:34.719622 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 63712:66608, ack 1, win 58, options [nop,nop,TS val 27913694 ecr 27913693], length 2896
17:53:34.722045 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 66608:69504, ack 1, win 58, options [nop,nop,TS val 27913694 ecr 27913694], length 2896
17:53:34.724467 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 69504:72400, ack 1, win 58, options [nop,nop,TS val 27913695 ecr 27913694], length 2896
17:53:34.726893 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [P.], seq 72400:75296, ack 1, win 58, options [nop,nop,TS val 27913695 ecr 27913695], length 2896
17:53:34.729313 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 75296:78192, ack 1, win 58, options [nop,nop,TS val 27913696 ecr 27913695], length 2896
17:53:34.731735 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 78192:81088, ack 1, win 58, options [nop,nop,TS val 27913697 ecr 27913696], length 2896
17:53:34.734159 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 81088:83984, ack 1, win 58, options [nop,nop,TS val 27913697 ecr 27913697], length 2896
17:53:34.736582 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 83984:86880, ack 1, win 58, options [nop,nop,TS val 27913698 ecr 27913697], length 2896
17:53:34.739177 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 86880:89776, ack 1, win 58, options [nop,nop,TS val 27913699 ecr 27913698], length 2896
17:53:34.741425 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 89776:92672, ack 1, win 58, options [nop,nop,TS val 27913699 ecr 27913699], length 2896
17:53:34.743847 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 92672:95568, ack 1, win 58, options [nop,nop,TS val 27913700 ecr 27913699], length 2896
17:53:34.746269 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 95568:98464, ack 1, win 58, options [nop,nop,TS val 27913700 ecr 27913700], length 2896
17:53:34.748693 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 98464:101360, ack 1, win 58, options [nop,nop,TS val 27913701 ecr 27913700], length 2896
17:53:34.751114 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 101360:104256, ack 1, win 58, options [nop,nop,TS val 27913702 ecr 27913701], length 2896
17:53:34.753536 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 104256:107152, ack 1, win 58, options [nop,nop,TS val 27913702 ecr 27913702], length 2896
17:53:34.755959 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 107152:110048, ack 1, win 58, options [nop,nop,TS val 27913703 ecr 27913702], length 2896
17:53:34.758381 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 110048:112944, ack 1, win 58, options [nop,nop,TS val 27913703 ecr 27913703], length 2896
17:53:34.760804 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 112944:115840, ack 1, win 58, options [nop,nop,TS val 27913704 ecr 27913703], length 2896
17:53:34.763226 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 115840:118736, ack 1, win 58, options [nop,nop,TS val 27913705 ecr 27913704], length 2896
17:53:34.765649 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 118736:121632, ack 1, win 58, options [nop,nop,TS val 27913705 ecr 27913705], length 2896
17:53:34.768071 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 121632:124528, ack 1, win 58, options [nop,nop,TS val 27913706 ecr 27913705], length 2896
17:53:34.770493 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 124528:127424, ack 1, win 58, options [nop,nop,TS val 27913706 ecr 27913706], length 2896
17:53:34.772915 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 127424:130320, ack 1, win 58, options [nop,nop,TS val 27913707 ecr 27913706], length 2896
17:53:34.775338 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 130320:133216, ack 1, win 58, options [nop,nop,TS val 27913708 ecr 27913707], length 2896
17:53:34.777760 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 133216:136112, ack 1, win 58, options [nop,nop,TS val 27913708 ecr 27913708], length 2896
17:53:34.780182 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 136112:139008, ack 1, win 58, options [nop,nop,TS val 27913709 ecr 27913708], length 2896
17:53:34.782605 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 139008:141904, ack 1, win 58, options [nop,nop,TS val 27913709 ecr 27913709], length 2896
17:53:34.785028 IP 10.0.0.1.42166 > 10.0.0.2.5001: Flags [.], seq 141904:144800, ack 1, win 58, options [nop,nop,TS val 27913710 ecr 27913709], length 2896
