18:09:15.917970	7240:14480
18:09:15.928064	14480:21720
18:09:15.938155	21720:28960
18:09:15.946810	28960:36200
18:09:15.955458	36200:43440
18:09:15.963031	43440:50680
18:09:15.970601	50680:57920
18:09:15.977336	57920:60816
18:09:15.980021	60816:63712
18:09:15.982710	63712:65160
18:09:15.983920	65160:68056
18:09:15.986343	68056:70952
18:09:15.988765	70952:73848
18:09:15.991190	73848:76744
18:09:15.993612	76744:79640
18:09:15.996031	79640:82536
18:09:16.000877	82536:85432
18:09:16.005722	85432:88328
18:09:16.010592	88328:91224
18:09:16.015415	91224:94120
18:09:16.020256	94120:97016
18:09:16.025101	97016:99912
18:09:16.029945	99912:102808
18:09:16.034790	102808:105704
18:09:16.039635	105704:108600
18:09:16.044480	108600:111496
18:09:16.049324	111496:114392
18:09:16.054172	114392:117288
18:09:16.059019	117288:120184
18:09:16.063860	120184:123080
18:09:16.068710	123080:125976
18:09:16.073549	125976:128872
18:09:16.078396	128872:131768
18:09:16.083238	131768:134664
18:09:16.088083	134664:137560
18:09:16.092929	137560:140456
18:09:16.097775	140456:143352
18:09:16.102617	143352:146248
18:09:16.107463	146248:149144
18:09:16.112307	149144:152040
18:09:16.117152	152040:154936
18:09:16.121997	154936:157832
18:09:16.126841	157832:160728
18:09:16.131688	160728:163624
18:09:16.136531	163624:166520
18:09:16.141376	166520:169416
18:09:16.146221	169416:172312
18:09:16.151066	172312:175208
18:09:16.155910	175208:178104
18:09:16.160755	178104:181000
18:09:16.165603	181000:183896
18:09:16.170448	183896:186792
18:09:16.175291	186792:189688
18:09:16.180135	189688:192584
18:09:16.184982	192584:195480
18:09:16.189826	195480:198376
18:09:16.194669	198376:201272
18:09:16.199514	201272:204168
18:09:16.204358	204168:207064
18:09:16.209205	207064:209960
18:09:16.214048	209960:212856
18:09:16.218893	212856:215752
18:09:16.223738	215752:218648
18:09:16.228582	218648:221544
18:09:16.233571	221544:224440
18:09:16.238416	224440:227336
18:09:16.243261	227336:230232
18:09:16.248105	230232:233128
18:09:16.252950	233128:236024
